iata,name,lat,lon,country,
LCG,A Coruna Airport,43.302059,-8.37725,Spain,
AAH,Aachen Merzbruck Airport,50.823051,6.186111,Germany,
AAL,Aalborg Airport,57.092781,9.849164,Denmark,
AAR,Aarhus Airport,56.300011,10.619,Denmark,
QEA,Aarhus Sea Airport,56.151993,10.247725,Denmark,
JEG,Aasiaat Airport,68.72184,-52.784698,Greenland,
ABD,Abadan Airport,30.371111,48.228329,Iran,
ABA,Abakan International Airport,53.740002,91.385002,Russia,
YXX,Abbotsford International Airport,49.025269,-122.360001,Canada,
ABZ,Aberdeen International Airport,57.201939,-2.19777,United Kingdom,
ABR,Aberdeen Regional Airport,45.439999,-98.419998,United States,
AHB,Abha Regional Airport,18.24036,42.65662,Saudi Arabia,
ABJ,Abidjan Port Bouet Airport,5.261386,-3.92629,Cote D'ivoire (Ivory Coast),
ABI,Abilene Regional Airport,32.411301,-99.681801,United States,
VJI,Abingdon Virginia Highlands Airport,36.686111,-82.033333,United States,
AZI,Abu Dhabi Al Bateen Executive Airport,24.428329,54.45808,United Arab Emirates,
DHF,Abu Dhabi Al Dhafra Air Base,24.248199,54.547699,United Arab Emirates,
AUH,Abu Dhabi International Airport,24.43297,54.651131,United Arab Emirates,
AEU,Abu Musa Island Airport,25.8757,55.033001,Iran,
ABS,Abu Simbel Airport,22.37595,31.611719,Egypt,
ABV,Abuja Nnamdi Azikiwe International Airport,9.006792,7.263172,Nigeria,
ACA,Acapulco International Airport,16.757059,-99.753899,Mexico,
ACC,Accra Kotoka International Airport,5.605186,-0.16678,Ghana,
ADT,Ada Municipal Airport,34.804298,-96.671303,United States,
ADK,Adak Airport,51.87796,-176.645996,United States,
AIP,Adampur Airport,31.433056,75.760559,India,
ADA,Adana Sakirpasa Airport,36.982159,35.28038,Turkey,
ADD,Addis Ababa Bole Airport,8.977889,38.799309,Ethiopia,
ADL,Adelaide Airport,-34.945,138.530502,Australia,
ADE,Aden International Airport,12.82954,45.02879,Yemen,
ADF,Adiyaman Airport,37.731361,38.468929,Turkey,
AZR,Adrar Airport,27.83758,-0.18641,Algeria,
ADG,Adrian Lenawee County Airport,41.86607,-84.078293,United States,
AFO,Afton Municipal Airport,42.711201,-110.942001,United States,
AJY,Agades Mano Dayak International Airport,16.96599,8.000114,Niger,
AGA,Agadir Al Massira Airport,30.324989,-9.41306,Morocco,
IXA,Agartala Airport,23.886971,91.240448,India,
AGX,Agatti Airport,10.82365,72.176041,India,
AGF,Agen La Garenne Airport,44.174709,0.590619,France,
AKW,Aghajari Airport,30.7444,49.6772,Iran,
AGR,Agra Airport,27.15583,77.960892,India,
AJI,Agri Airport,39.65456,43.027149,Turkey,
GGB,Agua Boa Airport,-14.019444,-52.152222,Brazil,
HAY,Aguachica Hacaritama Airport,8.246203,-73.579628,Colombia,
BQN,Aguadilla Rafael Hernandez Airport,18.49486,-67.129402,Puerto Rico,
AGU,Aguascalientes International Airport,21.705549,-102.317001,Mexico,
AHE,Ahe Airport,-14.42759,-146.255981,French Polynesia,
AMD,Ahmedabad International Airport,23.07724,72.634651,India,
AWZ,Ahwaz International Airport,31.337429,48.761951,Iran,
AIK,Aiken Municipal Airport,33.649399,-81.684998,United States,
ROR,Airai Roman Tmetuchl International Airport,7.367303,134.544205,Palau,
AIT,Aitutaki Airport,-18.8309,-159.764008,Cook Islands,
QXB,Aix-en-Provence Airport,43.50528,5.367222,France,
AJL,Aizawl Lengpui Airport,23.838442,92.620361,India,
AJA,Ajaccio Napoleon Bonaparte Airport,41.923882,8.8025,France,
AKI,Akiak Airport,60.902901,-161.231003,United States,
AXT,Akita Airport,39.615551,140.218597,Japan,
LAK,Aklavik Airport,68.223297,-135.005997,Canada,
CAK,Akron Canton Airport,40.91608,-81.442101,United States,
AKC,Akron Fulton International Airport,41.037498,-81.466904,United States,
AKU,Aksu Airport,41.262501,80.291664,China,
SCO,Aktau Airport,43.86005,51.091969,Kazakhstan,
PVK,Aktion National Airport,38.925461,20.76531,Greece,
AKX,Aktobe Airport,50.245831,57.206661,Kazakhstan,
AKV,Akulivik Airport,60.818611,-78.148613,Canada,
AKR,Akure Airport,7.246739,5.301008,Nigeria,
AEY,Akureyri Airport,65.658607,-18.072201,Iceland,
AAN,Al Ain International Airport,24.26166,55.609161,United Arab Emirates,
AHU,Al Hoceima Cherif Al Idrissi Airport,35.177101,-3.83952,Morocco,
NJF,Al Najaf International Airport,31.991667,44.404167,Iraq,
XJD,Al Udeid Air Base,25.114941,51.316105,Qatar,
ULH,Al Ula  Airport,26.480862,38.116653,Saudi Arabia,
EJH,Al Wajh Airport,26.198334,36.476112,Saudi Arabia,
ABT,Al-Baha Domestic Airport,20.296129,41.63427,Saudi Arabia,
KAC,Al-Qamishli Airport,37.031025,41.205559,Syria,
ELQ,Al-Qassim International Airport,26.30282,43.773911,Saudi Arabia,
AUK,Alakanuk Airport,62.683056,-164.722198,United States,
ALM,Alamogordo White Sands Regional Airport,32.845833,-105.985275,United States,
ALS,Alamosa San Luis Valley Regional Airport,37.43491,-105.865997,United States,
ABC,Albacete Airport,38.948502,-1.86352,Spain,
ALH,Albany Airport,-34.939999,117.800003,Australia,
ALB,Albany International Airport,42.749111,-73.801903,United States,
ABY,Albany Southwest Georgia Regional Airport,31.535509,-84.194397,United States,
ALL,Albenga Clemente Panero International Airport,44.050598,8.127428,Italy,
BYF,Albert Picardie Airport,49.9715,2.69766,France,
LBI,Albi Le Sequestre Airport,43.913269,2.11675,France,
ABQ,Albuquerque International Airport,35.040218,-106.609001,United States,
ABX,Albury Airport,-36.067699,146.957993,Australia,
ADH,Aldan Airport,58.602772,125.408798,Russia,
ACI,Alderney Airport,49.706108,-2.21472,United Kingdom,
ALQ,Alegrete Novo Airport,-29.8127,-55.893398,Brazil,
ALP,Aleppo International Airport,36.180672,37.22435,Syria,
YLT,Alert Airport,82.517776,-62.280556,Canada,
AES,Alesund Vigra Airport,62.560371,6.110164,Norway,
ALX,Alexander City Thomas C Russell Field,32.933334,-85.949997,United States,
HBE,Alexandria Borg El Arab Airport,30.91766,29.6964,Egypt,
AEX,Alexandria International Airport,31.32737,-92.5485,United States,
AXN,Alexandria Municipal Airport,45.867222,-95.394165,United States,
AXD,Alexandroupolis International Airport,40.855862,25.956261,Greece,
QYH,Algeciras Heliport,36.128887,-5.441111,Spain,
AHO,Alghero Fertilia Airport,40.63213,8.290772,Italy,
ALG,Algiers Houari Boumediene Airport,36.69101,3.215408,Algeria,
ALC,Alicante Airport,38.282162,-0.55815,Spain,
ALI,Alice International Airport,27.740879,-98.026901,United States,
ASP,Alice Springs Airport,-23.806601,133.902206,Australia,
IXD,Allahabad Airport,25.439886,81.734406,India,
AET,Allakaket Airport,66.551804,-152.621994,United States,
QEQ,Allendorf Airport,51.035713,8.679523,Germany,
ABE,Allentown Lehigh Valley International Airport,40.652302,-75.440399,United States,
AIA,Alliance Municipal Airport,42.053219,-102.803001,United States,
YTF,Alma Airport,48.509655,-71.642715,Canada,
ALA,Almaty International Airport,43.35207,77.040497,Kazakhstan,
GGF,Almeirim Airport,-1.479167,-52.578056,Brazil,
LEI,Almeria Airport,36.843929,-2.37009,Spain,
ARD,Alor Island Airport,-8.13234,124.597,Indonesia,
AOR,Alor Setar Sultan Abdul Halim Airport,6.189667,100.398102,Malaysia,
APN,Alpena County Regional Airport,45.081669,-83.555832,United States,
ALF,Alta Airport,69.976112,23.37166,Norway,
AFL,Alta Floresta Airport,-9.86609,-56.106201,Brazil,
LTI,Altai Airport,46.650002,96.416664,Mongolia,
ATM,Altamira Airport,-3.2539,-52.253899,Brazil,
AAT,Altay Airport,47.750362,88.084442,China,
AOC,Altenburg Nobitz Airport,50.981812,12.50636,Germany,
QCA,Altenstadt Air Base,47.835518,10.870574,Germany,
ALN,Alton St. Louis Regional Airport,38.890301,-90.045998,United States,
AOO,Altoona Blair County Airport,40.296371,-78.32,United States,
AVR,Alverca Airport,38.884068,-9.029201,Portugal,
ZIS,Alzintan Airport,31.775,12.25,Libya,
AXJ,Amakusa Airport,32.483261,130.15564,Japan,
ASJ,Amami Airport,28.43063,129.712494,Japan,
AMA,Amarillo Rick Husband  International Airport,35.21936,-101.705002,United States,
TDW,Amarillo Tradewind Airport,35.169899,-101.825996,United States,
ABL,Ambler Airport,67.087502,-157.84584,United States,
AMQ,Ambon Pattimura Airport,-3.71026,128.089096,Indonesia,
ASV,Amboseli Airport,-2.633,37.25,Kenya,
AMW,Ames Municipal Airport,41.992001,-93.621803,United States,
ADJ,Amman Civil Airport,31.9727,35.991562,Jordan,
AMM,Amman Queen Alia International Airport,31.722549,35.99321,Jordan,
YEY,Amos Magny Airport,48.564838,-78.249146,Canada,
ATQ,Amritsar International Airport,31.709591,74.797256,India,
AMS,Amsterdam Schiphol Airport,52.308609,4.763889,Netherlands,
DYR,Anadyr Ugolny Airport,64.730003,177.740005,Russia,
AKP,Anaktuvuk Pass Airport,68.129997,-151.740005,United States,
AAQ,Anapa Airport,45.00209,37.347271,Russia,
APS,Anapolis Airport,-16.22714,-48.963783,Brazil,
EDF,Anchorage Elmendorf Air Force Base,61.251339,-149.806,United States,
MRI,Anchorage Merrill Field Airport,61.213539,-149.843994,United States,
ANC,Anchorage Ted Stevens International Airport,61.174358,-149.996002,United States,
AOI,Ancona Airport,43.616341,13.36231,Italy,
ANX,Andenes Andoya Airport,69.292503,16.144159,Norway,
AID,Anderson Municipal Airport,40.108665,-85.613815,United States,
AND,Anderson Regional Airport,34.494579,-82.709297,United States,
AZN,Andizhan Airport,40.72773,72.294006,Uzbekistan,
LEU,Andorra La Seu de Urgel Airport,42.34058,1.410326,Spain,
ASD,Andros Town International Airport,24.69828,-77.795601,Bahamas,
NGD,Anegada Auguste George Airport,18.727394,-64.330055,"Virgin Islands, British",
CRK,Angeles City Clark International Airport,15.18598,120.560303,Philippines,
AGH,Angelholm Helsingborg Airport,56.29607,12.84713,Sweden,
ANE,Angers Loire Airport,47.56028,-0.312222,France,
VLY,Anglesey Airport,53.240002,-4.53,United Kingdom,
ANQ,Angola Tri-State Steuben County Airport,41.639702,-85.083504,United States,
ANG,Angouleme Cognac International Airport,45.729469,0.219153,France,
GDR,Angra dos Reis Airport,-22.975279,-44.30722,Brazil,
ANI,Aniak Airport,61.581669,-159.54306,United States,
AJN,Anjouan Ouani Airport,-12.1316,44.430271,Comoros,
AKA,Ankang Fuqiang Airport,32.708099,108.931046,China,
ESB,Ankara Esenboga International Airport,40.128078,32.995079,Turkey,
QQK,Ankeny Regional Airport,41.691113,-93.566391,United States,
VBA,Ann Airport,19.770643,94.026405,Myanmar (Burma),
ARB,Ann Arbor Municipal Airport,42.223057,-83.74556,United States,
AAE,Annaba Rabah Bitat Airport,36.82222,7.809167,Algeria,
ANP,Annapolis Lee Airport,38.942902,-76.568398,United States,
NCY,Annecy Mont Blanc Airport,45.930771,6.106289,France,
QYA,Annemasse Airport,46.19194,6.269444,France,
ANB,Anniston Regional,33.588161,-85.858101,United States,
AQG,Anqing Tianzhushan Airport,30.582222,117.050278,China,
AOG,Anshan Teng'ao Airport,41.103523,122.855835,China,
AVA,Anshun Huangguoshu Airport,26.260555,105.873337,China,
HTY,Antakya Hatay Airport,36.362778,36.282223,Turkey,
AYT,Antalya Airport,36.898731,30.800461,Turkey,
TNR,Antananarivo Ivato International Airport,-18.7969,47.478802,Madagascar,
ANU,Antigua V. C. Bird International Airport,17.13674,-61.792599,Antigua And Barbuda,
ANF,Antofagasta International Airport,-23.444401,-70.445099,Chile,
